pregunta;descripcionpregunta;valorpregunta;descripcionvalorpregunta
P_1;Remplazo;1;Si
P_1;Remplazo;2;No
P_2;Causa de Remplazo;-88;No aplica
P_2;Causa de Remplazo;1;Direccion inexistente
P_2;Causa de Remplazo;2;Vivienda desocupada
P_2;Causa de Remplazo;3;Personas ausentes
P_2;Causa de Remplazo;4;No hay informante calificado
P_2;Causa de Remplazo;5;Rechazo
P_2;Causa de Remplazo;6;No es vivienda
P_2;Causa de Remplazo;7;La Direccion no corresponde
P_2;Causa de Remplazo;8;No corresponde al Estrato
P_2;Causa de Remplazo;9;Problemas de orden pi∫blico
P_2;Causa de Remplazo;10;Vivienda demolida
P_3;Fecha visita;NULL;NULL
P_4;Codigo de municipio;5001;MEDELLiçN
P_5;Zona;1;Cabecera -Urbana
P_5;Zona;2;Centro poblado- Rural
P_5;Zona;3;Rural disperso- Rural
P_6;Comunas de Medelli≠n;1;1. Popular
P_6;Comunas de Medelli≠n;2;2. Santa Cruz
P_6;Comunas de Medelli≠n;3;3. Manrique
P_6;Comunas de Medelli≠n;4;4. Aranjuez
P_6;Comunas de Medelli≠n;5;5. Castilla
P_6;Comunas de Medelli≠n;6;6. Doce de Octubre
P_6;Comunas de Medelli≠n;7;7. Robledo
P_6;Comunas de Medelli≠n;8;8. Villa Hermosa
P_6;Comunas de Medelli≠n;9;9. Buenos Aires
P_6;Comunas de Medelli≠n;10;10. La Candelaria
P_6;Comunas de Medelli≠n;11;11. Laureles Estadio
P_6;Comunas de Medelli≠n;12;12. La America
P_6;Comunas de Medelli≠n;13;13. San Javier
P_6;Comunas de Medelli≠n;14;14. El Poblado
P_6;Comunas de Medelli≠n;15;15. Guayabal
P_6;Comunas de Medelli≠n;16;16. Belen
P_6;Comunas de Medelli≠n;50;50. Palmitas
P_6;Comunas de Medelli≠n;60;60. San Cristobal
P_6;Comunas de Medelli≠n;70;70. Altavista
P_6;Comunas de Medelli≠n;80;80. San Antonio de Prado
P_6;Comunas de Medelli≠n;90;90. Santa Elena
P_7;Codigo del barrio o vereda;-99;No responde
P_7;Codigo del barrio o vereda;-98;No sabe
P_7;Codigo del barrio o vereda;-88;No aplica
P_7;Codigo del barrio o vereda;101;SANTO DOMINGO SABIO N¬∫ 1
P_7;Codigo del barrio o vereda;102;SANTO DOMINGO SABIO N¬∫ 2
P_7;Codigo del barrio o vereda;103;POPULAR
P_7;Codigo del barrio o vereda;104;GRANIZAL
P_7;Codigo del barrio o vereda;105;MOSCu N¬∫ 2
P_7;Codigo del barrio o vereda;106;VILLA GUADALUPE
P_7;Codigo del barrio o vereda;107;SAN PABLO
P_7;Codigo del barrio o vereda;108;EL COMPROMISO
P_7;Codigo del barrio o vereda;109;ALDEA PABLO VI
P_7;Codigo del barrio o vereda;110;LA ESPERANZA N¬∫ 2
P_7;Codigo del barrio o vereda;111;LA AVANZADA
P_7;Codigo del barrio o vereda;112;CARPINELO
P_7;Codigo del barrio o vereda;201;LA ISLA
P_7;Codigo del barrio o vereda;202;EL PLAY”N DE LOS COMUNEROS
P_7;Codigo del barrio o vereda;203;PABLO VI
P_7;Codigo del barrio o vereda;204;LA FRONTERA
P_7;Codigo del barrio o vereda;205;LA FRANCIA
P_7;Codigo del barrio o vereda;206;ANDALUCiçA
P_7;Codigo del barrio o vereda;207;VILLA DEL SOCORRO
P_7;Codigo del barrio o vereda;208;VILLA NIZA
P_7;Codigo del barrio o vereda;209;MOSCu N¬∫ 1
P_7;Codigo del barrio o vereda;210;SANTA CRUZ
P_7;Codigo del barrio o vereda;211;LA ROSA
P_7;Codigo del barrio o vereda;301;LA SALLE
P_7;Codigo del barrio o vereda;302;LAS GRANJAS
P_7;Codigo del barrio o vereda;303;CAMPO VALDES N¬∫ 2
P_7;Codigo del barrio o vereda;304;SANTA INES
P_7;Codigo del barrio o vereda;305;EL RAIZAL
P_7;Codigo del barrio o vereda;306;EL POMAR
P_7;Codigo del barrio o vereda;307;MANRIQUE CENTRAL N¬∫ 2
P_7;Codigo del barrio o vereda;308;MANRIQUE ORIENTAL
P_7;Codigo del barrio o vereda;309;VERSALLES N¬∫ 1
P_7;Codigo del barrio o vereda;310;VERSALLES N¬∫ 2
P_7;Codigo del barrio o vereda;311;LA CRUZ
P_7;Codigo del barrio o vereda;312;ORIENTE
P_7;Codigo del barrio o vereda;313;MARiçA CANO-CARAMBOLAS
P_7;Codigo del barrio o vereda;314;SAN JOSE LA CIMA N¬∫ 1
P_7;Codigo del barrio o vereda;315;SAN JOSE LA CIMA N¬∫ 2
P_7;Codigo del barrio o vereda;401;BERLiçN
P_7;Codigo del barrio o vereda;402;SAN ISIDRO
P_7;Codigo del barrio o vereda;403;PALERMO
P_7;Codigo del barrio o vereda;404;BERMEJAL-LOS iÅLAMOS
P_7;Codigo del barrio o vereda;405;MORAVIA
P_7;Codigo del barrio o vereda;407;SEVILLA
P_7;Codigo del barrio o vereda;408;SAN PEDRO
P_7;Codigo del barrio o vereda;409;MANRIQUE CENTRAL N¬∫ 1
P_7;Codigo del barrio o vereda;410;CAMPO VALDES N¬∫ 1
P_7;Codigo del barrio o vereda;411;LAS ESMERALDAS
P_7;Codigo del barrio o vereda;412;LA PI—UELA
P_7;Codigo del barrio o vereda;413;ARANJUEZ
P_7;Codigo del barrio o vereda;414;BRASILIA
P_7;Codigo del barrio o vereda;415;MIRANDA
P_7;Codigo del barrio o vereda;501;TOSCANA
P_7;Codigo del barrio o vereda;502;LAS BRISAS
P_7;Codigo del barrio o vereda;503;FLORENCIA
P_7;Codigo del barrio o vereda;504;TEJELO
P_7;Codigo del barrio o vereda;505;BOYACiÅ
P_7;Codigo del barrio o vereda;507;HECTOR ABAD G”MEZ
P_7;Codigo del barrio o vereda;508;BELALCiÅZAR
P_7;Codigo del barrio o vereda;509;GIRARDOT
P_7;Codigo del barrio o vereda;510;TRICENTENARIO
P_7;Codigo del barrio o vereda;511;CASTILLA
P_7;Codigo del barrio o vereda;513;FRANCISCO ANTONIO ZEA
P_7;Codigo del barrio o vereda;514;ALFONSO L”PEZ
P_7;Codigo del barrio o vereda;517;CARIBE
P_7;Codigo del barrio o vereda;519;EL PROGRESO
P_7;Codigo del barrio o vereda;601;SANTANDER
P_7;Codigo del barrio o vereda;602;DOCE DE OCTUBRE N¬∫ 1
P_7;Codigo del barrio o vereda;603;DOCE DE OCTUBRE N¬∫ 2
P_7;Codigo del barrio o vereda;604;PEDREGAL
P_7;Codigo del barrio o vereda;605;LA ESPERANZA
